Kod,Nazwa,gminy 2017,gminy 2018,gminy 2019,gminy 2020,gminy 2021,gminy mężczyźni 2017,gminy mężczyźni 2018,gminy mężczyźni 2019,gminy mężczyźni 2020,gminy mężczyźni 2021,gminy kobiety 2017,gminy kobiety 2018,gminy kobiety 2019,gminy kobiety 2020,gminy kobiety 2021,miasta 2017,miasta 2018,miasta 2019,miasta 2020,miasta 2021,miasta mężczyźni 2017,miasta mężczyźni 2018,miasta mężczyźni 2019,miasta mężczyźni 2020,miasta mężczyźni 2021,miasta kobiety 2017,miasta kobiety 2018,miasta kobiety 2019,miasta kobiety 2020, miasta kobiety 2021,Unnamed: 32
200000,DOLNOŚLĄSKIE,1969944.0,1968751.0,1967527.0,1957106.0,1949604.0,959215.0,958701.0,958098.0,951615.0,947592.0,1010729.0,1010050.0,1009429.0,1005491.0,1002012.0,932603.0,932474.0,932636.0,951272.0,948133.0,436192.0,436277.0,436537.0,446829.0,445482.0,496411.0,496197.0,496099.0,504443.0,502651.0,
400000,KUJAWSKO-POMORSKIE,1320688.0,1319676.0,1318485.0,1297212.0,1292772.0,651250.0,650842.0,650425.0,639856.0,637392.0,669438.0,668834.0,668060.0,657356.0,655380.0,762256.0,758099.0,753888.0,734338.0,724948.0,358061.0,356113.0,353881.0,343648.0,339047.0,404195.0,401986.0,400007.0,390690.0,385901.0,
600000,LUBELSKIE,1601235.0,1594102.0,1585947.0,1546176.0,1531939.0,786141.0,782658.0,778906.0,758620.0,751720.0,815094.0,811444.0,807041.0,787556.0,780219.0,525082.0,523517.0,522323.0,510732.0,506360.0,244312.0,243567.0,242942.0,237332.0,235230.0,280770.0,279950.0,279381.0,273400.0,271130.0,
800000,LUBUSKIE,752718.0,750330.0,746761.0,732655.0,727809.0,369501.0,368359.0,366524.0,359679.0,357047.0,383217.0,381971.0,380237.0,372976.0,370762.0,264114.0,264218.0,264831.0,260674.0,257678.0,125429.0,125489.0,125642.0,123273.0,121668.0,138685.0,138729.0,139189.0,137401.0,136010.0,
1000000,ŁÓDZKIE,1663273.0,1659189.0,1653659.0,1626991.0,1615883.0,807287.0,805281.0,802495.0,789943.0,784223.0,855986.0,853908.0,851164.0,837048.0,831660.0,813042.0,807133.0,801120.0,788825.0,779063.0,372582.0,369878.0,367140.0,361251.0,356849.0,440460.0,437255.0,433980.0,427574.0,422214.0,
1200000,MAŁOPOLSKIE,2430341.0,2436550.0,2439522.0,2444130.0,2441794.0,1195886.0,1199083.0,1200581.0,1202427.0,1201120.0,1234455.0,1237467.0,1238941.0,1241703.0,1240674.0,961039.0,964027.0,971379.0,988562.0,988576.0,450100.0,451547.0,454891.0,463073.0,462931.0,510939.0,512480.0,516488.0,525489.0,525645.0,
1400000,MAZOWIECKIE,3154781.0,3162277.0,3171474.0,3212225.0,3210894.0,1544886.0,1548304.0,1552377.0,1573821.0,1572338.0,1609895.0,1613973.0,1619097.0,1638404.0,1638556.0,2229836.0,2241135.0,2251694.0,2305391.0,2301900.0,1031288.0,1037132.0,1042646.0,1068538.0,1067078.0,1198548.0,1204003.0,1209048.0,1236853.0,1234822.0,
1600000,OPOLSKIE,861929.0,858369.0,854591.0,828304.0,821808.0,418535.0,416706.0,414904.0,402685.0,399418.0,443394.0,441663.0,439687.0,425619.0,422390.0,128140.0,128137.0,128035.0,127540.0,126775.0,60425.0,60413.0,60262.0,59683.0,59276.0,67715.0,67724.0,67773.0,67857.0,67499.0,
1800000,PODKARPACKIE,1783681.0,1782642.0,1777231.0,1752948.0,1742774.0,879172.0,878561.0,875987.0,863757.0,858647.0,904509.0,904081.0,901244.0,889191.0,884127.0,345457.0,346373.0,349933.0,343218.0,343158.0,163640.0,164082.0,165847.0,162496.0,162440.0,181817.0,182291.0,184086.0,180722.0,180718.0,
2000000,PODLASKIE,754614.0,751247.0,748096.0,731618.0,726000.0,374568.0,372859.0,371278.0,362475.0,359705.0,380046.0,378388.0,376818.0,369143.0,366295.0,429934.0,430286.0,430257.0,424973.0,422720.0,202838.0,203011.0,202940.0,200495.0,199303.0,227096.0,227275.0,227317.0,224478.0,223417.0,
2200000,POMORSKIE,1485693.0,1493530.0,1500273.0,1504790.0,1507917.0,735368.0,739194.0,742579.0,744473.0,745585.0,750325.0,754336.0,757694.0,760317.0,762332.0,838558.0,839993.0,843655.0,853466.0,850809.0,396583.0,397102.0,398646.0,402565.0,400898.0,441975.0,442891.0,445009.0,450901.0,449911.0,
2400000,ŚLĄSKIE,1999782.0,2000075.0,1998961.0,1971492.0,1962978.0,972738.0,972882.0,972120.0,959455.0,954779.0,1027044.0,1027193.0,1026841.0,1012037.0,1008199.0,2548398.0,2533490.0,2518674.0,2440605.0,2412969.0,1220175.0,1212603.0,1205175.0,1165623.0,1151223.0,1328223.0,1320887.0,1313499.0,1274982.0,1261746.0,
2600000,ŚWIĘTOKRZYSKIE,1050928.0,1045772.0,1039109.0,1012157.0,1002215.0,516152.0,513588.0,510393.0,496904.0,491831.0,534776.0,532184.0,528716.0,515253.0,510384.0,196804.0,195774.0,194852.0,187427.0,185478.0,92363.0,91753.0,91271.0,87410.0,86367.0,104441.0,104021.0,103581.0,100017.0,99111.0,
2800000,WARMIŃSKO-MAZURSKIE,1139980.0,1136479.0,1131441.0,1099341.0,1091047.0,563296.0,561383.0,558895.0,542538.0,538125.0,576684.0,575096.0,572546.0,556803.0,552922.0,293965.0,292504.0,291296.0,286281.0,283652.0,138289.0,137599.0,137014.0,134662.0,133361.0,155676.0,154905.0,154282.0,151619.0,150291.0,
3000000,WIELKOPOLSKIE,2709921.0,2718453.0,2726647.0,2730824.0,2729471.0,1333058.0,1336979.0,1340712.0,1342325.0,1341164.0,1376863.0,1381474.0,1385935.0,1388499.0,1388307.0,779289.0,775516.0,772086.0,776218.0,770559.0,364643.0,362944.0,361422.0,362698.0,359814.0,414646.0,412572.0,410664.0,413520.0,410745.0,
3200000,ZACHODNIOPOMORSKIE,1152948.0,1150334.0,1146350.0,1117306.0,1110814.0,566838.0,565590.0,563637.0,549096.0,545729.0,586110.0,584744.0,582713.0,568210.0,565085.0,552585.0,550696.0,549843.0,543767.0,539207.0,262364.0,261406.0,260885.0,257917.0,255535.0,290221.0,289290.0,288958.0,285850.0,283672.0,
