Kod;Nazwa;2017;2018;2019;2020;2021;
0201000;"Powiat bolesławiecki";3901,94;4214,66;4545,34;4887,95;5461,94;
0202000;"Powiat dzierżoniowski";3825,15;4024,94;4484,28;4690,20;5127,97;
0203000;"Powiat głogowski";3918,42;4077,69;4427,98;4763,21;5171,28;
0204000;"Powiat górowski";3484,31;3815,89;3978,78;4432,40;4862,88;
0205000;"Powiat jaworski";3756,46;4029,64;4408,00;4932,98;5554,54;
0206000;"Powiat karkonoski";3760,49;4035,56;4353,43;4526,41;5050,91;
0207000;"Powiat kamiennogórski";3661,88;4013,33;4319,48;4532,19;4885,26;
0208000;"Powiat kłodzki";3741,83;4054,23;4386,83;4747,93;5141,98;
0209000;"Powiat legnicki";3774,63;4185,47;4652,61;4877,07;5452,05;
0210000;"Powiat lubański";3622,21;3939,03;4173,43;4508,29;4980,17;
0211000;"Powiat lubiński";7515,99;7915,01;8274,57;8920,41;10076,64;
0212000;"Powiat lwówecki";3570,16;3950,65;4284,69;4622,42;5049,64;
0213000;"Powiat milicki";3617,72;3734,38;3996,41;4338,67;4848,85;
0214000;"Powiat oleśnicki";3857,75;4128,29;4457,79;4773,90;5113,77;
0215000;"Powiat oławski";4150,54;4415,62;4804,75;4987,74;5467,98;
0216000;"Powiat polkowicki";4794,62;4941,87;5338,08;5606,23;6120,80;
0217000;"Powiat strzeliński";4082,13;4398,08;4774,00;5161,72;5671,21;
0218000;"Powiat średzki";4389,17;4805,68;5069,72;5260,90;5761,88;
0219000;"Powiat świdnicki";4141,32;4427,25;4741,36;5053,92;5469,98;
0220000;"Powiat trzebnicki";3664,48;3955,41;4237,62;4611,02;5235,04;
0221000;"Powiat wałbrzyski";3638,59;3825,44;4065,01;4385,23;4759,75;
0222000;"Powiat wołowski";4651,04;5086,07;5473,27;5907,36;6793,03;
0223000;"Powiat wrocławski";4324,13;4880,00;5324,29;5868,29;6489,25;
0224000;"Powiat ząbkowicki";3583,79;3856,48;4178,50;4556,76;4975,61;
0225000;"Powiat zgorzelecki";3866,56;4225,18;4521,09;4881,55;5346,28;
0226000;"Powiat złotoryjski";4113,06;4362,98;4731,02;5118,53;5591,14;
0261000;"Powiat m.Jelenia Góra";4237,50;4546,12;4848,79;5183,33;5646,31;
0262000;"Powiat m.Legnica";3998,28;4259,37;4719,65;4952,32;5463,27;
0264000;"Powiat m.Wrocław";5070,35;5338,47;5757,54;6140,64;6693,90;
0265000;"Powiat m.Wałbrzych od 2013";4481,44;4768,01;5189,24;5565,38;6015,80;
0401000;"Powiat aleksandrowski";3399,70;3641,04;3918,09;4138,84;4651,79;
0402000;"Powiat brodnicki";3552,02;3762,94;4027,09;4291,16;4666,18;
0403000;"Powiat bydgoski";3933,52;4208,79;4449,27;4752,76;5167,77;
0404000;"Powiat chełmiński";3639,96;3795,52;4117,98;4492,13;4901,95;
0405000;"Powiat golubsko-dobrzyński";3926,17;4313,35;4521,71;4974,93;5272,37;
0406000;"Powiat grudziądzki";3748,43;3950,03;4294,97;4677,24;5009,38;
0407000;"Powiat inowrocławski";3626,17;3839,40;4141,32;4597,12;4988,03;
0408000;"Powiat lipnowski";3218,45;3491,32;3761,30;4106,90;4455,86;
0409000;"Powiat mogileński";3678,82;3855,21;4107,94;4263,04;4704,01;
0410000;"Powiat nakielski";3468,65;3706,48;4102,99;4423,48;4822,85;
0411000;"Powiat radziejowski";3378,02;3596,25;3906,53;4320,09;4799,97;
0412000;"Powiat rypiński";3464,17;3741,05;3979,24;4219,07;4668,80;
0413000;"Powiat sępoleński";3529,86;3730,47;3977,99;4308,57;4702,98;
0414000;"Powiat świecki";3882,92;4170,33;4580,35;4858,33;5211,03;
0415000;"Powiat toruński";3483,08;3726,88;4027,12;4394,70;4737,52;
0416000;"Powiat tucholski";3353,75;3600,87;3919,91;4208,91;4640,12;
0417000;"Powiat wąbrzeski";3741,15;3934,94;4334,78;4709,17;5091,85;
0418000;"Powiat włocławski";3503,37;3771,18;4107,48;4383,49;4807,59;
0419000;"Powiat żniński";3363,90;3654,34;3896,63;4285,37;4600,57;
0461000;"Powiat m.Bydgoszcz";4185,10;4481,39;4957,38;5252,17;5848,22;
0462000;"Powiat m.Grudziądz";3513,56;3743,06;3976,49;4414,17;4825,20;
0463000;"Powiat m.Toruń";4384,59;4629,36;4980,31;5331,63;5841,99;
0464000;"Powiat m.Włocławek";3941,33;4166,00;4505,60;4889,30;5294,49;
0601000;"Powiat bialski";3409,49;3668,41;3991,12;4258,54;4594,45;
0602000;"Powiat biłgorajski";3699,34;3907,04;4176,81;4522,48;4781,00;
0603000;"Powiat chełmski";3410,65;3648,16;3921,71;4291,62;4637,15;
0604000;"Powiat hrubieszowski";3572,95;3821,25;4205,48;4518,56;5019,57;
0605000;"Powiat janowski";3657,09;4007,96;4225,92;4437,27;5061,82;
0606000;"Powiat krasnostawski";3619,20;3862,53;4096,88;4548,95;4843,32;
0607000;"Powiat kraśnicki";3459,00;3691,03;3961,16;4244,39;4683,04;
0608000;"Powiat lubartowski";3419,63;3635,35;4003,85;4369,45;4824,58;
0609000;"Powiat lubelski";3527,13;3673,03;3943,73;4253,09;4615,93;
0610000;"Powiat łęczyński";5512,40;5772,29;6177,04;6391,65;7165,63;
0611000;"Powiat łukowski";3403,31;3578,47;3846,62;4146,78;4562,15;
0612000;"Powiat opolski";3490,05;3692,97;3927,80;4252,35;4547,18;
0613000;"Powiat parczewski";3565,96;3764,14;4092,69;4478,61;4881,98;
0614000;"Powiat puławski";4440,23;4615,24;4902,81;5311,80;5680,00;
0615000;"Powiat radzyński";3598,62;3787,89;4064,52;4385,35;4775,71;
0616000;"Powiat rycki";3544,04;3754,48;4014,66;4386,95;4786,07;
0617000;"Powiat świdnicki";4312,35;4624,28;4861,68;5074,45;5537,67;
0618000;"Powiat tomaszowski";3405,09;3681,44;3906,06;4337,56;4556,75;
0619000;"Powiat włodawski";3519,39;3658,82;3924,59;4333,34;4724,35;
0620000;"Powiat zamojski";3242,06;3474,14;3671,45;4135,39;4373,85;
0661000;"Powiat m.Biała Podlaska";3763,62;3913,47;4165,17;4504,47;4984,69;
0662000;"Powiat m.Chełm";3689,33;3976,28;4182,86;4581,83;4945,78;
0663000;"Powiat m.Lublin";4431,61;4708,40;5054,93;5412,39;5833,53;
0664000;"Powiat m.Zamość";3954,10;4244,03;4579,40;5013,44;5405,57;
0801000;"Powiat gorzowski";4090,10;4495,22;4730,58;5012,81;5419,18;
0802000;"Powiat krośnieński";3996,47;4255,01;4361,37;4765,10;5127,37;
0803000;"Powiat międzyrzecki";3768,95;4066,99;4263,28;4569,86;5085,53;
0804000;"Powiat nowosolski";3914,15;4174,69;4517,64;4625,15;5132,85;
0805000;"Powiat słubicki";3718,52;4014,73;4278,58;4480,78;4733,20;
0806000;"Powiat strzelecko-drezdenecki";3819,16;4124,64;4328,07;4560,14;5038,23;
0807000;"Powiat sulęciński";3468,90;3829,00;3992,31;4292,99;4685,18;
0808000;"Powiat świebodziński";3968,58;4234,21;4566,65;4659,04;5242,75;
0809000;"Powiat zielonogórski";4067,93;4330,43;4657,96;5037,75;5392,72;
0810000;"Powiat żagański";3587,59;3843,35;4155,89;4484,13;4823,38;
0811000;"Powiat żarski";4067,66;4426,69;4769,05;5047,09;5659,45;
0812000;"Powiat wschowski";3553,21;3866,11;4234,83;4470,96;4866,09;
0861000;"Powiat m.Gorzów Wielkopolski";3934,20;4224,62;4496,08;4788,88;5242,27;
0862000;"Powiat m.Zielona Góra";4173,04;4419,34;4893,47;5212,80;5697,74;
1001000;"Powiat bełchatowski";5926,37;6259,40;6695,94;7002,62;7288,32;
1002000;"Powiat kutnowski";3946,40;4206,84;4448,31;4786,11;5228,84;
1003000;"Powiat łaski";3227,11;3432,41;3798,69;4162,46;4475,37;
1004000;"Powiat łęczycki";3885,89;4104,85;4378,45;4822,41;5112,54;
1005000;"Powiat łowicki";3534,91;3781,96;4080,42;4460,42;4866,80;
1006000;"Powiat łódzki wschodni";3463,82;3759,87;4041,73;4423,99;4921,85;
1007000;"Powiat opoczyński";3427,90;3679,30;3940,12;4343,35;4877,79;
1008000;"Powiat pabianicki";3778,57;4046,87;4408,23;4675,17;5097,18;
1009000;"Powiat pajęczański";3672,03;3919,72;4151,26;4573,46;4878,09;
1010000;"Powiat piotrkowski";3436,14;3695,68;3986,06;4255,64;4657,40;
1011000;"Powiat poddębicki";4387,98;4679,92;5252,21;5688,39;6479,53;
1012000;"Powiat radomszczański";3406,71;3631,65;3942,12;4368,96;4807,65;
1013000;"Powiat rawski";3561,95;4027,10;4255,27;4509,52;5001,06;
1014000;"Powiat sieradzki";3648,13;3949,33;4272,65;4741,55;5105,75;
1015000;"Powiat skierniewicki";3612,61;3893,12;4137,68;4451,49;4861,50;
1016000;"Powiat tomaszowski";3554,59;3807,65;4091,46;4473,72;4926,75;
1017000;"Powiat wieluński";3640,03;3851,65;4166,35;4342,78;4994,12;
1018000;"Powiat wieruszowski";3267,25;3454,23;3727,74;4165,25;4510,26;
1019000;"Powiat zduńskowolski";3533,99;3745,55;3971,72;4382,66;4818,67;
1020000;"Powiat zgierski";4017,73;4378,56;4655,05;5081,59;5476,77;
1021000;"Powiat brzeziński";3071,31;3385,89;3806,53;4113,70;4605,78;
1061000;"Powiat m.Łódź";4462,50;4779,47;5174,84;5510,99;6062,04;
1062000;"Powiat m.Piotrków Trybunalski";3446,86;3765,37;4089,07;4422,85;5029,34;
1063000;"Powiat m.Skierniewice";3598,89;3963,58;4293,90;4691,83;5145,34;
1201000;"Powiat bocheński";3783,80;4003,85;4289,47;4523,92;5056,61;
1202000;"Powiat brzeski";3446,38;3690,17;3954,37;4244,82;4676,17;
1203000;"Powiat chrzanowski";3878,27;4208,19;4595,24;4912,69;5321,95;
1204000;"Powiat dąbrowski";3652,45;3794,60;4085,83;4425,26;4807,50;
1205000;"Powiat gorlicki";3430,00;3594,66;3881,28;4158,62;4619,28;
1206000;"Powiat krakowski";4858,15;5248,76;5514,71;5788,98;5562,32;
1207000;"Powiat limanowski";3438,40;3647,39;3870,43;4163,22;4650,69;
1208000;"Powiat miechowski";3436,12;3698,91;4024,88;4415,03;4906,57;
1209000;"Powiat myślenicki";3745,92;4015,38;4286,31;4525,20;5025,52;
1210000;"Powiat nowosądecki";3396,14;3681,50;3909,31;4160,76;4540,71;
1211000;"Powiat nowotarski";3400,75;3714,71;3945,52;4335,07;4664,68;
1212000;"Powiat olkuski";4139,68;4436,66;4671,20;4920,77;5266,62;
1213000;"Powiat oświęcimski";4048,20;4311,80;4615,99;4911,73;5422,84;
1214000;"Powiat proszowicki";3675,73;3884,93;4260,59;4635,66;4968,09;
1215000;"Powiat suski";3675,07;3956,37;4212,34;4482,76;4955,34;
1216000;"Powiat tarnowski";3308,87;3511,79;3779,10;4149,11;4516,68;
1217000;"Powiat tatrzański";3916,60;4190,35;4459,57;4655,05;5056,45;
1218000;"Powiat wadowicki";3495,69;3761,99;4085,96;4457,27;4936,99;
1219000;"Powiat wielicki";4164,18;4474,30;4768,99;5047,98;5369,27;
1261000;"Powiat m.Kraków";4966,20;5368,39;5878,79;6482,24;7203,41;
1262000;"Powiat m.Nowy Sącz";3578,27;3860,88;4115,73;4468,93;4838,59;
1263000;"Powiat m.Tarnów";3947,37;4161,78;5216,76;5629,79;6035,40;
1401000;"Powiat białobrzeski";3796,54;3924,35;4119,06;4410,45;4968,13;
1402000;"Powiat ciechanowski";4093,02;4466,27;4755,95;4967,97;5411,99;
1403000;"Powiat garwoliński";3893,41;4150,96;4373,13;4708,21;5145,34;
1404000;"Powiat gostyniński";3652,70;3876,10;4236,19;4637,28;5166,55;
1405000;"Powiat grodziski";4682,77;4978,59;5395,42;5761,51;6355,26;
1406000;"Powiat grójecki";4340,66;4584,70;4854,27;5088,28;5631,52;
1407000;"Powiat kozienicki";5164,02;5488,52;5673,51;5467,11;6517,33;
1408000;"Powiat legionowski";4166,59;4433,54;4722,05;5059,53;5512,45;
1409000;"Powiat lipski";3720,86;3869,60;4257,08;4564,75;5096,43;
1410000;"Powiat łosicki";3638,32;3800,57;3991,20;4486,10;4853,59;
1411000;"Powiat makowski";3593,25;3789,60;4093,31;4461,25;4766,83;
1412000;"Powiat miński";3858,75;4084,49;4373,77;4717,21;5091,06;
1413000;"Powiat mławski";3472,99;3811,03;4244,24;4636,34;4873,48;
1414000;"Powiat nowodworski";5042,02;5486,64;5781,86;6096,33;6814,66;
1415000;"Powiat ostrołęcki";3800,68;4031,87;4281,28;4564,72;4940,39;
1416000;"Powiat ostrowski";3870,99;4020,31;4308,21;4650,41;5168,08;
1417000;"Powiat otwocki";4159,58;4503,30;4983,60;5281,35;5622,45;
1418000;"Powiat piaseczyński";4102,07;4739,75;5120,47;5164,71;5664,70;
1419000;"Powiat płocki";3506,28;4001,91;4332,92;4631,84;5147,98;
1420000;"Powiat płoński";3866,14;4117,68;4421,56;4826,77;5279,65;
1421000;"Powiat pruszkowski";5405,38;5757,06;6124,57;6295,40;6773,28;
1422000;"Powiat przasnyski";3752,91;4025,27;4282,28;4638,79;5095,27;
1423000;"Powiat przysuski";3610,91;3794,10;4148,89;4653,63;5190,17;
1424000;"Powiat pułtuski";3609,92;3838,23;4195,24;4644,71;4975,47;
1425000;"Powiat radomski";3477,49;3687,64;4018,68;4362,35;4859,10;
1426000;"Powiat siedlecki";3522,32;3709,87;4073,76;4503,92;4861,68;
1427000;"Powiat sierpecki";3716,02;3980,58;4163,16;4613,59;4886,81;
1428000;"Powiat sochaczewski";4429,03;4629,40;5098,89;5741,89;6294,23;
1429000;"Powiat sokołowski";3684,06;3992,80;4242,82;4792,94;4932,00;
1430000;"Powiat szydłowiecki";3438,25;3610,92;3859,09;4157,78;4642,61;
1432000;"Powiat warszawski zachodni";5054,09;5375,27;5730,95;5990,54;6524,02;
1433000;"Powiat węgrowski";3570,38;3978,57;4188,07;4589,75;5150,92;
1434000;"Powiat wołomiński";4077,96;4472,81;4790,56;4997,04;5451,36;
1435000;"Powiat wyszkowski";3761,07;3908,90;4110,84;4404,79;4816,43;
1436000;"Powiat zwoleński";3733,31;4026,66;4181,55;4508,69;4990,00;
1437000;"Powiat żuromiński";3446,49;3576,47;3855,91;4384,30;4781,49;
1438000;"Powiat żyrardowski";4254,63;4535,22;4745,14;5113,05;5645,54;
1461000;"Powiat m.Ostrołęka";4481,69;4832,05;5175,65;5712,81;6091,07;
1462000;"Powiat m.Płock";5474,96;5705,32;6091,56;6526,04;7167,40;
1463000;"Powiat m.Radom";4123,36;4388,04;4684,64;5033,24;5626,71;
1464000;"Powiat m.Siedlce";4130,35;4364,06;4857,69;5187,54;5707,14;
1465000;"Powiat m. st. Warszawa";6059,04;6432,78;6802,60;7147,46;7687,58;
1601000;"Powiat brzeski";3858,63;4227,04;4546,01;4825,14;5157,08;
1602000;"Powiat głubczycki";3658,51;3924,49;4341,64;4703,75;5181,69;
1603000;"Powiat kędzierzyńsko-kozielski";4811,98;4928,19;5204,96;5572,19;6015,26;
1604000;"Powiat kluczborski";3939,54;4159,52;4291,66;4777,86;5108,36;
1605000;"Powiat krapkowicki";4462,89;4858,78;5156,01;5548,87;5787,32;
1606000;"Powiat namysłowski";3905,34;4176,14;4502,51;4807,10;5293,47;
1607000;"Powiat nyski";3631,95;3875,88;4218,98;4637,57;5053,60;
1608000;"Powiat oleski";3636,42;3827,13;4176,75;4479,24;4916,44;
1609000;"Powiat opolski";3653,33;4018,89;4371,57;4720,08;5101,21;
1610000;"Powiat prudnicki";3609,33;3847,86;4101,26;4446,16;4808,55;
